name,core_count,thread_count,base_clock,boost_clock,tdp,l1_cache,l2_cache,l3_cache,socket,memory_support,integrated_gpu
Intel Core Ultra 7 155H,,,,,,,,,,,
Intel Core Ultra 7 155U,,,,,,,,,,,
Intel Core Ultra 7 164U,,,,,,,,,,,
Intel Core Ultra 7 165U,,,,,,,,,,,
Intel Core Ultra 7 255H,,,,,,,,,,,
Intel Core Ultra 7 255U,,,,,,,,,,,
Intel Core Ultra 7 256V,,,,,,,,,,,
Intel Core Ultra 7 258V,,,,,,,,,,,
Intel Core Ultra 7 266V,,,,,,,,,,,
Intel Core Ultra 7 268V,,,,,,,,,,,
Intel Core Ultra 9 185H,,,,,,,,,,,
Intel Core Ultra 9 275HX,,,,,,,,,,,
Intel Core Ultra 9 285H,,,,,,,,,,,
Intel Core Ultra 9 288V,,,,,,,,,,,
,,,,,,,,,,,
AMD Ryzen 3 3250U,,,,,,,,,,,
AMD Ryzen 3 5300U,,,,,,,,,,,
AMD Ryzen 3 7320U,,,,,,,,,,,
AMD Ryzen 5 3500U,,,,,,,,,,,
AMD Ryzen 5 4600H,,,,,,,,,,,
AMD Ryzen 5 5625U,,,,,,,,,,,
AMD Ryzen 5 6600H,,,,,,,,,,,
AMD Ryzen 5 7430U,,,,,,,,,,,
AMD Ryzen 5 7520U,,,,,,,,,,,
AMD Ryzen 5 7530U,,,,,,,,,,,
AMD Ryzen 5 7533HS,,,,,,,,,,,
AMD Ryzen 5 7535HS,,,,,,,,,,,
AMD Ryzen 5 7640HS,,,,,,,,,,,
AMD Ryzen 5 8645HS,,,,,,,,,,,
AMD Ryzen 5 PRO 7535U,,,,,,,,,,,
AMD Ryzen 7 4800H,,,,,,,,,,,
AMD Ryzen 7 5800H,,,,,,,,,,,
AMD Ryzen 7 5800HS,,,,,,,,,,,
AMD Ryzen 7 5825U,,,,,,,,,,,
AMD Ryzen 7 6800H,,,,,,,,,,,
AMD Ryzen 7 6800HS,,,,,,,,,,,
AMD Ryzen 7 7435HS,,,,,,,,,,,
AMD Ryzen 7 7445H,,,,,,,,,,,
AMD Ryzen 7 7445HS,,,,,,,,,,,
AMD Ryzen 7 7730U,,,,,,,,,,,
AMD Ryzen 7 7735H,,,,,,,,,,,
AMD Ryzen 7 7735HS,,,,,,,,,,,
AMD Ryzen 7 7735U,,,,,,,,,,,
AMD Ryzen 7 7745HX,,,,,,,,,,,
AMD Ryzen 7 7840HS,,,,,,,,,,,
AMD Ryzen 7 8840HS,,,,,,,,,,,
AMD Ryzen 7 8845HS,,,,,,,,,,,
AMD Ryzen 7 PRO 6850U,,,,,,,,,,,
AMD Ryzen 9 5900HX,,,,,,,,,,,
AMD Ryzen 9 6900HX,,,,,,,,,,,
AMD Ryzen 9 7845HX,,,,,,,,,,,
AMD Ryzen 9 7940HS,,,,,,,,,,,
AMD Ryzen 9 7945HX,,,,,,,,,,,
AMD Ryzen 9 8940HX,,,,,,,,,,,
AMD Ryzen 9 8945H,,,,,,,,,,,
AMD Ryzen 9 8945HS,,,,,,,,,,,
,,,,,,,,,,,
AMD Athlon,,,,,,,,,,,
AMD Athlon Gold,,,,,,,,,,,
AMD Athlon Silver,,,,,,,,,,,
AMD Athlon Silver 10,,,,,,,,,,,
AMD Athlon Silver 3050U,,,,,,,,,,,
AMD Athlon Silver 7120U,,,,,,,,,,,
AMD Athlon Silver 3050U,,,,,,,,,,,
AMD A4-6210,,,,,,,,,,,
,,,,,,,,,,,
Intel Atom,,,,,,,,,,,
Intel Celeron,,,,,,,,,,,
Intel Celeron G5900,,,,,,,,,,,
Intel Celeron G5905,,,,,,,,,,,
Intel Celeron N3350,,,,,,,,,,,
Intel Celeron N4020,,,,,,,,,,,
Intel Celeron J4025,,,,,,,,,,,
Intel Celeron J4005,,,,,,,,,,,
Intel Celeron N4500,,,,,,,,,,,
Intel Celeron N5095,,,,,,,,,,,
Intel Celeron N4000,,,,,,,,,,,
Intel Celeron G6900,,,,,,,,,,,
Intel Celeron 5205U,,,,,,,,,,,
Intel Pentium,,,,,,,,,,,
Intel Pentium G4400,,,,,,,,,,,
Intel Pentium G4560,,,,,,,,,,,
Intel Pentium J2900,,,,,,,,,,,
Intel Pentium 4415U,,,,,,,,,,,
Intel Pentium Gold,,,,,,,,,,,
Intel Pentium Gold G5400,,,,,,,,,,,
Intel Pentium Gold G6400,,,,,,,,,,,
Intel Pentium Gold G6405,,,,,,,,,,,
Intel Pentium Gold G7400,,,,,,,,,,,
Intel Pentium Gold 8505,,,,,,,,,,,
Intel Pentium Silver,,,,,,,,,,,
Intel Pentium Silver N6000,,,,,,,,,,,
Intel Pentium Silver J5040,,,,,,,,,,,
Intel Pentium G3250,,,,,,,,,,,
Intel Pentium E6500,,,,,,,,,,,
Intel Processor N100,,,,,,,,,,,
Intel Processor N150,,,,,,,,,,,
Intel Processor N95,,,,,,,,,,,
Intel Xeon,,,,,,,,,,,
Intel Xeon E5,,,,,,,,,,,
Intel Xeon E-2104,,,,,,,,,,,
Intel Xeon E-2124,,,,,,,,,,,
Intel Xeon E-2224,,,,,,,,,,,
Intel Xeon W-2104,,,,,,,,,,,
SnapDragon,,,,,,,,,,,
SnapDragon Purwa SE,,,,,,,,,,,
SnapDragon X,,,,,,,,,,,
,,,,,,,,,,,
Apple M1,,,,,,,,,,,
Apple M2,,,,,,,,,,,
Apple M3,,,,,,,,,,,
Apple M4,,,,,,,,,,,
Apple M5,,,,,,,,,,,
Apple A18 Pro,,,,,,,,,,,
